State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,612.0,5767.0,0.0,0.0,0.0,SUB-DISTRICT,Nilakkottai,Total,73232.0,286641.0,144482.0,142159.0,30156.0,15569.0,14587.0,77447.0,39079.0,38368.0,2190.0,1144.0,1046.0,195613.0,107920.0,87693.0,91028.0,36562.0,54466.0,144425.0,86661.0,57764.0,119463.0,74944.0,44519.0,17215.0,10812.0,6403.0,57747.0,30372.0,27375.0,2393.0,1298.0,1095.0,42108.0,32462.0,9646.0,24962.0,11717.0,13245.0,930.0,465.0,465.0,17104.0,7487.0,9617.0,1026.0,305.0,721.0,5902.0,3460.0,2442.0,21974.0,10389.0,11585.0,825.0,414.0,411.0,15119.0,6679.0,8440.0,820.0,244.0,576.0,5210.0,3052.0,2158.0,2988.0,1328.0,1660.0,105.0,51.0,54.0,1985.0,808.0,1177.0,206.0,61.0,145.0,692.0,408.0,284.0,142216.0,57821.0,84395.0,,
33.0,612.0,5767.0,0.0,0.0,0.0,SUB-DISTRICT,Nilakkottai,Rural,51433.0,201927.0,102165.0,99762.0,21742.0,11246.0,10496.0,62472.0,31590.0,30882.0,494.0,253.0,241.0,131302.0,73855.0,57447.0,70625.0,28310.0,42315.0,110008.0,62307.0,47701.0,88441.0,52318.0,36123.0,15285.0,9500.0,5785.0,51892.0,26918.0,24974.0,1766.0,1020.0,746.0,19498.0,14880.0,4618.0,21567.0,9989.0,11578.0,840.0,412.0,428.0,16135.0,7083.0,9052.0,896.0,272.0,624.0,3696.0,2222.0,1474.0,19080.0,8891.0,10189.0,741.0,367.0,374.0,14335.0,6328.0,8007.0,736.0,217.0,519.0,3268.0,1979.0,1289.0,2487.0,1098.0,1389.0,99.0,45.0,54.0,1800.0,755.0,1045.0,160.0,55.0,105.0,428.0,243.0,185.0,91919.0,39858.0,52061.0,,
33.0,612.0,5767.0,0.0,0.0,0.0,SUB-DISTRICT,Nilakkottai,Urban,21799.0,84714.0,42317.0,42397.0,8414.0,4323.0,4091.0,14975.0,7489.0,7486.0,1696.0,891.0,805.0,64311.0,34065.0,30246.0,20403.0,8252.0,12151.0,34417.0,24354.0,10063.0,31022.0,22626.0,8396.0,1930.0,1312.0,618.0,5855.0,3454.0,2401.0,627.0,278.0,349.0,22610.0,17582.0,5028.0,3395.0,1728.0,1667.0,90.0,53.0,37.0,969.0,404.0,565.0,130.0,33.0,97.0,2206.0,1238.0,968.0,2894.0,1498.0,1396.0,84.0,47.0,37.0,784.0,351.0,433.0,84.0,27.0,57.0,1942.0,1073.0,869.0,501.0,230.0,271.0,6.0,6.0,0.0,185.0,53.0,132.0,46.0,6.0,40.0,264.0,165.0,99.0,50297.0,17963.0,32334.0,,
33.0,612.0,5767.0,635449.0,0.0,0.0,VILLAGE,Pachamalayankottai,Rural,2705.0,10438.0,5291.0,5147.0,1117.0,593.0,524.0,4666.0,2358.0,2308.0,2.0,1.0,1.0,6912.0,3925.0,2987.0,3526.0,1366.0,2160.0,5625.0,3175.0,2450.0,5324.0,3064.0,2260.0,887.0,548.0,339.0,2883.0,1369.0,1514.0,103.0,51.0,52.0,1451.0,1096.0,355.0,301.0,111.0,190.0,20.0,9.0,11.0,175.0,47.0,128.0,16.0,6.0,10.0,90.0,49.0,41.0,254.0,94.0,160.0,19.0,9.0,10.0,154.0,44.0,110.0,6.0,2.0,4.0,75.0,39.0,36.0,47.0,17.0,30.0,1.0,0.0,1.0,21.0,3.0,18.0,10.0,4.0,6.0,15.0,10.0,5.0,4813.0,2116.0,2697.0,,
33.0,612.0,5767.0,635450.0,0.0,0.0,VILLAGE,Jambudurai Kottai,Rural,2319.0,9986.0,4875.0,5111.0,1015.0,547.0,468.0,2547.0,1233.0,1314.0,1.0,0.0,1.0,6740.0,3570.0,3170.0,3246.0,1305.0,1941.0,5210.0,2900.0,2310.0,4796.0,2729.0,2067.0,835.0,524.0,311.0,2852.0,1377.0,1475.0,61.0,33.0,28.0,1048.0,795.0,253.0,414.0,171.0,243.0,32.0,26.0,6.0,277.0,83.0,194.0,16.0,9.0,7.0,89.0,53.0,36.0,367.0,148.0,219.0,28.0,22.0,6.0,253.0,76.0,177.0,14.0,8.0,6.0,72.0,42.0,30.0,47.0,23.0,24.0,4.0,4.0,0.0,24.0,7.0,17.0,2.0,1.0,1.0,17.0,11.0,6.0,4776.0,1975.0,2801.0,,
33.0,612.0,5767.0,635451.0,0.0,0.0,VILLAGE,Nariyuthu,Rural,1154.0,4391.0,2238.0,2153.0,453.0,243.0,210.0,1372.0,680.0,692.0,0.0,0.0,0.0,2954.0,1655.0,1299.0,1437.0,583.0,854.0,2656.0,1430.0,1226.0,2187.0,1170.0,1017.0,324.0,186.0,138.0,1667.0,843.0,824.0,14.0,9.0,5.0,182.0,132.0,50.0,469.0,260.0,209.0,4.0,3.0,1.0,438.0,238.0,200.0,5.0,1.0,4.0,22.0,18.0,4.0,462.0,256.0,206.0,4.0,3.0,1.0,435.0,236.0,199.0,4.0,1.0,3.0,19.0,16.0,3.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1735.0,808.0,927.0,,
33.0,612.0,5767.0,635452.0,0.0,0.0,VILLAGE,Kottur,Rural,2322.0,9263.0,4690.0,4573.0,1038.0,550.0,488.0,2387.0,1207.0,1180.0,2.0,1.0,1.0,5941.0,3314.0,2627.0,3322.0,1376.0,1946.0,4815.0,2861.0,1954.0,4390.0,2649.0,1741.0,1169.0,712.0,457.0,2671.0,1554.0,1117.0,25.0,16.0,9.0,525.0,367.0,158.0,425.0,212.0,213.0,12.0,7.0,5.0,361.0,174.0,187.0,2.0,1.0,1.0,50.0,30.0,20.0,146.0,85.0,61.0,11.0,7.0,4.0,90.0,50.0,40.0,2.0,1.0,1.0,43.0,27.0,16.0,279.0,127.0,152.0,1.0,0.0,1.0,271.0,124.0,147.0,0.0,0.0,0.0,7.0,3.0,4.0,4448.0,1829.0,2619.0,,
33.0,612.0,5767.0,635453.0,0.0,0.0,VILLAGE,Kodanginaickan patti,Rural,1059.0,4418.0,2251.0,2167.0,582.0,315.0,267.0,1263.0,633.0,630.0,1.0,0.0,1.0,2745.0,1535.0,1210.0,1673.0,716.0,957.0,2358.0,1403.0,955.0,2163.0,1345.0,818.0,259.0,182.0,77.0,926.0,470.0,456.0,265.0,160.0,105.0,713.0,533.0,180.0,195.0,58.0,137.0,11.0,8.0,3.0,102.0,13.0,89.0,11.0,5.0,6.0,71.0,32.0,39.0,153.0,36.0,117.0,7.0,5.0,2.0,85.0,5.0,80.0,8.0,4.0,4.0,53.0,22.0,31.0,42.0,22.0,20.0,4.0,3.0,1.0,17.0,8.0,9.0,3.0,1.0,2.0,18.0,10.0,8.0,2060.0,848.0,1212.0,,
33.0,612.0,5767.0,635454.0,0.0,0.0,VILLAGE,Sengattampatti,Rural,884.0,3394.0,1707.0,1687.0,325.0,161.0,164.0,1527.0,778.0,749.0,0.0,0.0,0.0,2084.0,1195.0,889.0,1310.0,512.0,798.0,2040.0,1031.0,1009.0,1968.0,998.0,970.0,159.0,87.0,72.0,1574.0,743.0,831.0,69.0,50.0,19.0,166.0,118.0,48.0,72.0,33.0,39.0,2.0,1.0,1.0,57.0,23.0,34.0,1.0,0.0,1.0,12.0,9.0,3.0,70.0,32.0,38.0,2.0,1.0,1.0,55.0,22.0,33.0,1.0,0.0,1.0,12.0,9.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.0,676.0,678.0,,
33.0,612.0,5767.0,635455.0,0.0,0.0,VILLAGE,Chinnamanaickankottai,Rural,200.0,887.0,467.0,420.0,66.0,34.0,32.0,565.0,283.0,282.0,0.0,0.0,0.0,526.0,323.0,203.0,361.0,144.0,217.0,544.0,269.0,275.0,542.0,269.0,273.0,170.0,86.0,84.0,282.0,116.0,166.0,0.0,0.0,0.0,90.0,67.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,198.0,145.0,,
33.0,612.0,5767.0,635456.0,0.0,0.0,VILLAGE,Nuthulapuram,Rural,1028.0,4192.0,2150.0,2042.0,491.0,255.0,236.0,2019.0,1029.0,990.0,0.0,0.0,0.0,2708.0,1535.0,1173.0,1484.0,615.0,869.0,2454.0,1360.0,1094.0,1639.0,909.0,730.0,705.0,363.0,342.0,634.0,310.0,324.0,7.0,5.0,2.0,293.0,231.0,62.0,815.0,451.0,364.0,5.0,3.0,2.0,762.0,418.0,344.0,4.0,1.0,3.0,44.0,29.0,15.0,805.0,445.0,360.0,5.0,3.0,2.0,754.0,414.0,340.0,4.0,1.0,3.0,42.0,27.0,15.0,10.0,6.0,4.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,1738.0,790.0,948.0,,
33.0,612.0,5767.0,635457.0,0.0,0.0,VILLAGE,Kanavaipatti ,Rural,2606.0,9873.0,4858.0,5015.0,927.0,458.0,469.0,1534.0,776.0,758.0,0.0,0.0,0.0,7338.0,3894.0,3444.0,2535.0,964.0,1571.0,4431.0,2897.0,1534.0,3874.0,2611.0,1263.0,487.0,351.0,136.0,1439.0,778.0,661.0,132.0,79.0,53.0,1816.0,1403.0,413.0,557.0,286.0,271.0,14.0,8.0,6.0,312.0,159.0,153.0,18.0,5.0,13.0,213.0,114.0,99.0,545.0,278.0,267.0,14.0,8.0,6.0,305.0,154.0,151.0,18.0,5.0,13.0,208.0,111.0,97.0,12.0,8.0,4.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,5442.0,1961.0,3481.0,,
33.0,612.0,5767.0,635458.0,0.0,0.0,VILLAGE,Batlagundu ,Rural,2991.0,11768.0,5976.0,5792.0,1306.0,674.0,632.0,6315.0,3223.0,3092.0,476.0,245.0,231.0,7651.0,4294.0,3357.0,4117.0,1682.0,2435.0,5782.0,3468.0,2314.0,5080.0,3152.0,1928.0,195.0,137.0,58.0,3457.0,1911.0,1546.0,76.0,49.0,27.0,1352.0,1055.0,297.0,702.0,316.0,386.0,21.0,10.0,11.0,522.0,233.0,289.0,11.0,4.0,7.0,148.0,69.0,79.0,337.0,152.0,185.0,13.0,8.0,5.0,227.0,98.0,129.0,6.0,1.0,5.0,91.0,45.0,46.0,365.0,164.0,201.0,8.0,2.0,6.0,295.0,135.0,160.0,5.0,3.0,2.0,57.0,24.0,33.0,5986.0,2508.0,3478.0,,
33.0,612.0,5767.0,635459.0,0.0,0.0,VILLAGE,Kombaipatti,Rural,2210.0,8406.0,4223.0,4183.0,815.0,406.0,409.0,2174.0,1097.0,1077.0,1.0,1.0,0.0,5106.0,2898.0,2208.0,3300.0,1325.0,1975.0,4684.0,2595.0,2089.0,3341.0,1999.0,1342.0,376.0,244.0,132.0,2283.0,1225.0,1058.0,79.0,43.0,36.0,603.0,487.0,116.0,1343.0,596.0,747.0,28.0,9.0,19.0,1173.0,531.0,642.0,64.0,10.0,54.0,78.0,46.0,32.0,1188.0,518.0,670.0,27.0,8.0,19.0,1028.0,459.0,569.0,59.0,7.0,52.0,74.0,44.0,30.0,155.0,78.0,77.0,1.0,1.0,0.0,145.0,72.0,73.0,5.0,3.0,2.0,4.0,2.0,2.0,3722.0,1628.0,2094.0,,
33.0,612.0,5767.0,635460.0,0.0,0.0,VILLAGE,Mallanampatti,Rural,910.0,3431.0,1740.0,1691.0,365.0,202.0,163.0,1153.0,590.0,563.0,0.0,0.0,0.0,2220.0,1264.0,956.0,1211.0,476.0,735.0,1947.0,1067.0,880.0,1895.0,1040.0,855.0,181.0,112.0,69.0,1448.0,716.0,732.0,15.0,8.0,7.0,251.0,204.0,47.0,52.0,27.0,25.0,7.0,3.0,4.0,34.0,19.0,15.0,1.0,0.0,1.0,10.0,5.0,5.0,48.0,25.0,23.0,7.0,3.0,4.0,30.0,17.0,13.0,1.0,0.0,1.0,10.0,5.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.0,673.0,811.0,,
33.0,612.0,5767.0,635461.0,0.0,0.0,VILLAGE,Bangalapatti,Rural,96.0,396.0,190.0,206.0,42.0,23.0,19.0,395.0,190.0,205.0,0.0,0.0,0.0,238.0,118.0,120.0,158.0,72.0,86.0,213.0,105.0,108.0,201.0,96.0,105.0,1.0,0.0,1.0,165.0,69.0,96.0,0.0,0.0,0.0,35.0,27.0,8.0,12.0,9.0,3.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,12.0,9.0,3.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,85.0,98.0,,
33.0,612.0,5767.0,635462.0,0.0,0.0,VILLAGE,Veelinaickanpatti,Rural,601.0,2448.0,1284.0,1164.0,344.0,185.0,159.0,178.0,100.0,78.0,0.0,0.0,0.0,1568.0,912.0,656.0,880.0,372.0,508.0,1464.0,834.0,630.0,1435.0,827.0,608.0,376.0,219.0,157.0,856.0,456.0,400.0,11.0,10.0,1.0,192.0,142.0,50.0,29.0,7.0,22.0,4.0,1.0,3.0,14.0,3.0,11.0,3.0,0.0,3.0,8.0,3.0,5.0,25.0,6.0,19.0,4.0,1.0,3.0,13.0,3.0,10.0,3.0,0.0,3.0,5.0,2.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,984.0,450.0,534.0,,
33.0,612.0,5767.0,635463.0,0.0,0.0,VILLAGE,Nakkaluthu,Rural,345.0,1371.0,725.0,646.0,169.0,96.0,73.0,1356.0,714.0,642.0,0.0,0.0,0.0,881.0,526.0,355.0,490.0,199.0,291.0,775.0,420.0,355.0,757.0,411.0,346.0,23.0,17.0,6.0,592.0,286.0,306.0,17.0,9.0,8.0,125.0,99.0,26.0,18.0,9.0,9.0,0.0,0.0,0.0,13.0,4.0,9.0,1.0,1.0,0.0,4.0,4.0,0.0,18.0,9.0,9.0,0.0,0.0,0.0,13.0,4.0,9.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,305.0,291.0,,
33.0,612.0,5767.0,635464.0,0.0,0.0,VILLAGE,Silukkuvarpatti,Rural,2703.0,10725.0,5274.0,5451.0,1190.0,620.0,570.0,3537.0,1718.0,1819.0,0.0,0.0,0.0,7272.0,3870.0,3402.0,3453.0,1404.0,2049.0,5236.0,3046.0,2190.0,4267.0,2576.0,1691.0,524.0,357.0,167.0,2326.0,1250.0,1076.0,97.0,48.0,49.0,1320.0,921.0,399.0,969.0,470.0,499.0,41.0,27.0,14.0,619.0,298.0,321.0,101.0,15.0,86.0,208.0,130.0,78.0,899.0,455.0,444.0,40.0,26.0,14.0,608.0,294.0,314.0,66.0,12.0,54.0,185.0,123.0,62.0,70.0,15.0,55.0,1.0,1.0,0.0,11.0,4.0,7.0,35.0,3.0,32.0,23.0,7.0,16.0,5489.0,2228.0,3261.0,,
33.0,612.0,5767.0,635465.0,0.0,0.0,VILLAGE,Malayagoundanpatti ,Rural,1383.0,5424.0,2716.0,2708.0,589.0,309.0,280.0,1820.0,923.0,897.0,2.0,1.0,1.0,3463.0,1935.0,1528.0,1961.0,781.0,1180.0,3039.0,1700.0,1339.0,1909.0,1167.0,742.0,466.0,288.0,178.0,861.0,446.0,415.0,31.0,23.0,8.0,551.0,410.0,141.0,1130.0,533.0,597.0,71.0,28.0,43.0,685.0,317.0,368.0,47.0,21.0,26.0,327.0,167.0,160.0,1066.0,499.0,567.0,67.0,27.0,40.0,650.0,298.0,352.0,41.0,17.0,24.0,308.0,157.0,151.0,64.0,34.0,30.0,4.0,1.0,3.0,35.0,19.0,16.0,6.0,4.0,2.0,19.0,10.0,9.0,2385.0,1016.0,1369.0,,
33.0,612.0,5767.0,635466.0,0.0,0.0,VILLAGE,Kullalagundu,Rural,1828.0,7200.0,3560.0,3640.0,810.0,366.0,444.0,3294.0,1624.0,1670.0,0.0,0.0,0.0,4773.0,2684.0,2089.0,2427.0,876.0,1551.0,3763.0,2178.0,1585.0,2718.0,1716.0,1002.0,210.0,141.0,69.0,1626.0,886.0,740.0,49.0,26.0,23.0,833.0,663.0,170.0,1045.0,462.0,583.0,96.0,37.0,59.0,561.0,213.0,348.0,48.0,14.0,34.0,340.0,198.0,142.0,802.0,375.0,427.0,80.0,32.0,48.0,386.0,154.0,232.0,38.0,11.0,27.0,298.0,178.0,120.0,243.0,87.0,156.0,16.0,5.0,11.0,175.0,59.0,116.0,10.0,3.0,7.0,42.0,20.0,22.0,3437.0,1382.0,2055.0,,
33.0,612.0,5767.0,635467.0,0.0,0.0,VILLAGE,Pallapatti,Rural,1959.0,7633.0,3853.0,3780.0,852.0,421.0,431.0,2139.0,1073.0,1066.0,0.0,0.0,0.0,4843.0,2777.0,2066.0,2790.0,1076.0,1714.0,3884.0,2288.0,1596.0,3315.0,2058.0,1257.0,286.0,195.0,91.0,1713.0,895.0,818.0,63.0,28.0,35.0,1253.0,940.0,313.0,569.0,230.0,339.0,19.0,8.0,11.0,340.0,79.0,261.0,17.0,6.0,11.0,193.0,137.0,56.0,408.0,198.0,210.0,17.0,7.0,10.0,208.0,64.0,144.0,15.0,6.0,9.0,168.0,121.0,47.0,161.0,32.0,129.0,2.0,1.0,1.0,132.0,15.0,117.0,2.0,0.0,2.0,25.0,16.0,9.0,3749.0,1565.0,2184.0,,
33.0,612.0,5767.0,635468.0,0.0,0.0,VILLAGE,Ethilodu,Rural,2496.0,9580.0,4815.0,4765.0,1019.0,514.0,505.0,2967.0,1461.0,1506.0,0.0,0.0,0.0,5962.0,3426.0,2536.0,3618.0,1389.0,2229.0,5372.0,2946.0,2426.0,4449.0,2539.0,1910.0,906.0,567.0,339.0,2822.0,1453.0,1369.0,70.0,33.0,37.0,651.0,486.0,165.0,923.0,407.0,516.0,28.0,15.0,13.0,692.0,277.0,415.0,29.0,4.0,25.0,174.0,111.0,63.0,759.0,326.0,433.0,24.0,13.0,11.0,541.0,203.0,338.0,28.0,3.0,25.0,166.0,107.0,59.0,164.0,81.0,83.0,4.0,2.0,2.0,151.0,74.0,77.0,1.0,1.0,0.0,8.0,4.0,4.0,4208.0,1869.0,2339.0,,
33.0,612.0,5767.0,635469.0,0.0,0.0,VILLAGE,Koovanuthu,Rural,594.0,2419.0,1200.0,1219.0,319.0,166.0,153.0,1117.0,565.0,552.0,0.0,0.0,0.0,1459.0,818.0,641.0,960.0,382.0,578.0,1396.0,759.0,637.0,1113.0,638.0,475.0,188.0,102.0,86.0,675.0,356.0,319.0,9.0,4.0,5.0,241.0,176.0,65.0,283.0,121.0,162.0,9.0,4.0,5.0,217.0,91.0,126.0,9.0,3.0,6.0,48.0,23.0,25.0,282.0,120.0,162.0,9.0,4.0,5.0,217.0,91.0,126.0,9.0,3.0,6.0,47.0,22.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1023.0,441.0,582.0,,
33.0,612.0,5767.0,635470.0,0.0,0.0,VILLAGE,Musuvanuthu,Rural,852.0,3545.0,1821.0,1724.0,398.0,213.0,185.0,918.0,474.0,444.0,0.0,0.0,0.0,2123.0,1217.0,906.0,1422.0,604.0,818.0,2104.0,1129.0,975.0,1947.0,1051.0,896.0,391.0,223.0,168.0,1245.0,596.0,649.0,40.0,22.0,18.0,271.0,210.0,61.0,157.0,78.0,79.0,12.0,4.0,8.0,86.0,37.0,49.0,16.0,9.0,7.0,43.0,28.0,15.0,117.0,52.0,65.0,10.0,3.0,7.0,77.0,34.0,43.0,5.0,3.0,2.0,25.0,12.0,13.0,40.0,26.0,14.0,2.0,1.0,1.0,9.0,3.0,6.0,11.0,6.0,5.0,18.0,16.0,2.0,1441.0,692.0,749.0,,
33.0,612.0,5767.0,635471.0,0.0,0.0,VILLAGE,Bodiagoundanpatti,Rural,214.0,732.0,372.0,360.0,82.0,40.0,42.0,7.0,4.0,3.0,0.0,0.0,0.0,516.0,297.0,219.0,216.0,75.0,141.0,425.0,232.0,193.0,223.0,197.0,26.0,33.0,30.0,3.0,136.0,117.0,19.0,1.0,0.0,1.0,53.0,50.0,3.0,202.0,35.0,167.0,0.0,0.0,0.0,182.0,17.0,165.0,0.0,0.0,0.0,20.0,18.0,2.0,202.0,35.0,167.0,0.0,0.0,0.0,182.0,17.0,165.0,0.0,0.0,0.0,20.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,140.0,167.0,,
33.0,612.0,5767.0,635472.0,0.0,0.0,VILLAGE,Sivagnanapuram,Rural,434.0,1721.0,888.0,833.0,167.0,86.0,81.0,928.0,474.0,454.0,0.0,0.0,0.0,1095.0,635.0,460.0,626.0,253.0,373.0,1023.0,556.0,467.0,716.0,394.0,322.0,68.0,36.0,32.0,565.0,309.0,256.0,5.0,2.0,3.0,78.0,47.0,31.0,307.0,162.0,145.0,3.0,1.0,2.0,285.0,149.0,136.0,6.0,2.0,4.0,13.0,10.0,3.0,304.0,162.0,142.0,3.0,1.0,2.0,285.0,149.0,136.0,4.0,2.0,2.0,12.0,10.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,698.0,332.0,366.0,,
33.0,612.0,5767.0,635473.0,0.0,0.0,VILLAGE,Kunnuvarankottai,Rural,1253.0,4887.0,2472.0,2415.0,491.0,258.0,233.0,1661.0,861.0,800.0,0.0,0.0,0.0,3256.0,1808.0,1448.0,1631.0,664.0,967.0,2562.0,1478.0,1084.0,1144.0,787.0,357.0,216.0,156.0,60.0,490.0,282.0,208.0,32.0,19.0,13.0,406.0,330.0,76.0,1418.0,691.0,727.0,33.0,22.0,11.0,1265.0,594.0,671.0,7.0,2.0,5.0,113.0,73.0,40.0,1386.0,669.0,717.0,22.0,14.0,8.0,1249.0,583.0,666.0,7.0,2.0,5.0,108.0,70.0,38.0,32.0,22.0,10.0,11.0,8.0,3.0,16.0,11.0,5.0,0.0,0.0,0.0,5.0,3.0,2.0,2325.0,994.0,1331.0,,
33.0,612.0,5767.0,635474.0,0.0,0.0,VILLAGE,Pannaipatti,Rural,485.0,2013.0,1057.0,956.0,209.0,106.0,103.0,929.0,489.0,440.0,0.0,0.0,0.0,1217.0,726.0,491.0,796.0,331.0,465.0,1294.0,683.0,611.0,1241.0,652.0,589.0,797.0,410.0,387.0,311.0,151.0,160.0,21.0,10.0,11.0,112.0,81.0,31.0,53.0,31.0,22.0,16.0,8.0,8.0,7.0,3.0,4.0,0.0,0.0,0.0,30.0,20.0,10.0,51.0,30.0,21.0,14.0,7.0,7.0,7.0,3.0,4.0,0.0,0.0,0.0,30.0,20.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,374.0,345.0,,
33.0,612.0,5767.0,635475.0,0.0,0.0,VILLAGE,Viralipatti  ,Rural,2891.0,11370.0,5868.0,5502.0,1242.0,650.0,592.0,3942.0,2067.0,1875.0,0.0,0.0,0.0,6833.0,4027.0,2806.0,4537.0,1841.0,2696.0,6572.0,3621.0,2951.0,6400.0,3542.0,2858.0,1098.0,623.0,475.0,4356.0,2178.0,2178.0,47.0,32.0,15.0,899.0,709.0,190.0,172.0,79.0,93.0,14.0,9.0,5.0,98.0,32.0,66.0,4.0,2.0,2.0,56.0,36.0,20.0,151.0,72.0,79.0,13.0,8.0,5.0,82.0,29.0,53.0,2.0,1.0,1.0,54.0,34.0,20.0,21.0,7.0,14.0,1.0,1.0,0.0,16.0,3.0,13.0,2.0,1.0,1.0,2.0,2.0,0.0,4798.0,2247.0,2551.0,,
33.0,612.0,5767.0,635476.0,0.0,0.0,VILLAGE,Rengappanaickanpatti,Rural,1024.0,4078.0,2133.0,1945.0,415.0,213.0,202.0,232.0,120.0,112.0,0.0,0.0,0.0,2419.0,1444.0,975.0,1659.0,689.0,970.0,2511.0,1367.0,1144.0,1960.0,1101.0,859.0,510.0,314.0,196.0,1186.0,627.0,559.0,56.0,25.0,31.0,208.0,135.0,73.0,551.0,266.0,285.0,29.0,12.0,17.0,488.0,238.0,250.0,12.0,5.0,7.0,22.0,11.0,11.0,542.0,264.0,278.0,25.0,11.0,14.0,487.0,238.0,249.0,9.0,4.0,5.0,21.0,11.0,10.0,9.0,2.0,7.0,4.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1567.0,766.0,801.0,,
33.0,612.0,5767.0,635477.0,0.0,0.0,VILLAGE,Sandaiyur,Rural,982.0,3830.0,1892.0,1938.0,490.0,257.0,233.0,110.0,59.0,51.0,0.0,0.0,0.0,2191.0,1222.0,969.0,1639.0,670.0,969.0,2280.0,1200.0,1080.0,1655.0,876.0,779.0,381.0,266.0,115.0,1123.0,503.0,620.0,16.0,9.0,7.0,135.0,98.0,37.0,625.0,324.0,301.0,12.0,4.0,8.0,525.0,266.0,259.0,5.0,3.0,2.0,83.0,51.0,32.0,624.0,324.0,300.0,12.0,4.0,8.0,524.0,266.0,258.0,5.0,3.0,2.0,83.0,51.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,692.0,858.0,,
