"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
16409,Nelkattum Seval,Sivagiri,Tirunelveli Kattabomman,6164,309,1544,4.0,3077,3087,997,865,444,421,1055,1669,27.1,816,853,957,0,0.0,0,0,0,1813,34.21,1309,504,2597,3781,61.3,1974,1807,1092,100,1.6,2,98,20,2283,37.0,1101,1182,931,3546,93.78,1794,1752,1024,67,1.77,59,8,7375,168,4.44,121,47,2574,1927,50.97,1117,810,1379,1611,42.61,670,941,712,8,0.0,7,1,7000,0,0.0,0,0,0,20,0.53,13,7,1857,44,1.16,43,1,43000,3,0.08,3,0,0,49,1.3,41,8,5125,9,0.24,9,0,0,110,2.91,71,39,1821,yes,0,6,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,sankarankoi,19,yes,1,1,0,0,0,0.0,721,100.0,0,0.0,1263,63.43,7,0.35,524.38,0.0,197.0,0.0,0.0,0.0,0.0,0.0
16410,Sanganapperi,Sivagiri,Tirunelveli Kattabomman,919,264,230,4.0,462,457,1011,111,59,52,1135,881,95.9,443,438,1011,0,0.0,0,0,0,94,11.63,53,41,1293,624,67.9,318,306,1039,0,0.0,0,0,0,295,32.1,144,151,954,620,99.36,316,304,1039,0,0.0,0,0,0,4,0.64,2,2,1000,376,60.26,192,184,1043,244,39.1,124,120,1033,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.64,2,2,1000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,puliangud,8,yes,1,1,0,0,0,0.0,92,52.58,83,47.42,145,41.62,28,8.12,52.86,0.0,0.0,0.0,0.0,39.3,0.0,0.0
16411,Vasudevanallur,Sivagiri,Tirunelveli Kattabomman,18916,1256,4270,4.4,9475,9441,1004,2653,1328,1325,1002,3569,18.9,1794,1775,1011,136,0.7,69,67,1030,8843,54.37,5768,3075,1876,9911,52.4,5547,4364,1271,173,0.9,0,173,0,8832,46.7,3928,4904,801,7072,71.25,3899,3173,1229,1435,14.58,433,1002,432,1404,14.17,1215,189,6429,2472,24.94,1525,947,1610,4521,45.62,2315,2206,1049,69,0.01,49,20,2450,10,0.1,10,0,0,1000,10.09,127,873,145,382,3.85,253,129,1961,53,0.53,53,0,0,584,5.89,561,23,24391,92,0.93,91,1,91000,728,7.35,563,165,3412,yes,0,2,1,1,1,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,puliangud,6,yes,1,1,0,0,0,0.0,675,71.37,271,28.63,103,6.86,457,30.34,220.55,0.0,343.85,0.0,0.0,110.43,0.0,0.0
16412,Subramanyapuram,Sivagiri,Tirunelveli Kattabomman,3814,824,946,4.0,1874,1940,966,549,263,286,920,1937,50.8,949,988,961,0,0.0,0,0,0,1322,40.49,946,376,2516,2147,56.3,1070,1077,994,2,0.1,0,2,0,1665,43.7,804,861,934,1932,89.99,961,971,990,112,5.22,31,81,383,103,4.8,78,25,3120,479,22.31,300,179,1676,1448,67.44,656,792,828,5,0.0,5,0,0,0,0.0,0,0,0,94,4.38,16,78,205,15,0.7,12,3,4000,3,0.14,3,0,0,33,1.54,30,3,10000,5,0.23,5,0,0,65,3.03,43,22,1955,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,puliangud,5,yes,1,1,0,0,0,0.0,195,59.9,130,40.1,59,12.71,79,17.08,75.03,0.0,74.97,0.0,0.0,44.76,0.0,0.0
16413,Darukapuram,Sivagiri,Tirunelveli Kattabomman,1079,121,294,3.7,547,532,1028,149,93,56,1661,369,34.2,191,178,1073,0,0.0,0,0,0,457,49.14,302,155,1948,671,62.2,324,347,934,0,0.0,0,0,0,408,37.8,223,185,1205,659,98.21,318,341,933,0,0.0,0,0,0,12,1.79,6,6,1000,42,6.26,22,20,1100,615,91.65,294,321,916,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.15,1,0,0,11,1.64,5,6,833,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,puliangud,8,yes,1,1,0,0,0,0.0,333,74.74,112,25.26,179,20.06,268,30.02,182.92,0.0,149.78,0.0,0.0,0.0,0.0,0.0
16414,Pattakurichi,Sivagiri,Tirunelveli Kattabomman,469,75,114,4.1,232,237,979,60,32,28,1143,190,40.5,92,98,939,0,0.0,0,0,0,255,62.35,166,89,1865,272,58.0,140,132,1061,0,0.0,0,0,0,197,42.0,92,105,876,251,92.28,124,127,976,3,1.1,3,0,0,18,6.62,13,5,2600,34,12.5,29,5,5800,217,79.78,95,122,779,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.1,3,0,0,0,0.0,0,0,0,3,1.1,2,1,2000,3,1.1,3,0,0,12,4.41,8,4,2000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,puliangud,8,yes,1,1,0,0,0,0.0,456,100.0,0,0.0,84,13.39,86,13.72,234.43,0.0,84.49,0.0,0.0,0.0,0.0,137.13
16415,Ariyur,Sivagiri,Tirunelveli Kattabomman,793,91,200,4.0,383,410,934,112,53,59,898,63,7.9,32,31,1032,0,0.0,0,0,0,331,48.6,242,89,2719,538,67.8,259,279,928,0,0.0,0,0,0,255,32.2,124,131,947,478,87.73,226,252,897,40,8.55,15,25,600,20,3.72,18,2,9000,73,13.57,69,4,17250,399,74.16,151,248,609,0,0.0,0,0,0,6,1.12,6,0,0,25,4.65,0,25,0,13,2.42,13,0,0,2,0.37,2,0,0,5,0.93,5,0,0,1,0.19,1,0,0,14,2.6,12,2,6000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,puliangud,7,yes,1,1,0,0,0,0.0,339,100.0,0,0.0,215,24.55,321,36.66,153.0,0.0,89.62,0.0,0.0,96.8,0.0,0.0
16416,Nagaram,Sivagiri,Tirunelveli Kattabomman,2620,362,618,4.2,1305,1315,992,304,153,151,1013,1057,40.3,525,532,987,0,0.0,0,0,0,1212,52.33,805,407,1978,1584,60.5,809,775,1044,1,0.0,0,1,0,1035,39.5,496,539,920,1251,78.91,644,607,1061,181,11.49,41,140,293,152,9.6,124,28,4429,444,28.03,253,191,1325,800,50.51,385,415,928,6,0.0,5,1,5000,1,0.06,1,0,0,113,7.13,10,103,97,62,3.91,25,37,676,6,0.38,6,0,0,61,3.85,56,5,11200,19,1.2,18,1,18000,72,4.55,50,22,2273,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,puliangud,6,yes,1,1,0,0,0,0.0,269,67.39,130,32.61,211,29.16,113,15.62,192.36,0.0,77.03,0.0,0.0,0.0,0.0,0.0
16417,Malayadikkurichi,Sivagiri,Tirunelveli Kattabomman,2041,258,475,4.3,1084,957,1133,300,147,153,961,357,17.5,176,181,972,0,0.0,0,0,0,833,47.85,606,227,2670,991,48.6,557,434,1283,0,0.0,0,0,0,1050,51.4,527,523,1008,893,90.11,502,391,1284,31,3.13,4,27,148,67,6.76,51,16,3188,165,16.65,125,40,3125,728,73.46,377,351,1074,0,0.0,0,0,0,0,0.0,0,0,0,17,1.72,0,17,0,13,1.31,3,10,300,1,0.1,1,0,0,23,2.32,23,0,0,3,0.3,2,1,2000,41,4.14,26,15,1733,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,puliangud,6,yes,1,1,0,0,0,0.0,395,96.18,16,3.82,190,23.97,191,24.15,227.09,0.0,168.27,0.0,0.0,0.0,0.0,0.0
16418,Talaivankottai,Sivagiri,Tirunelveli Kattabomman,4190,410,992,4.2,1985,2205,900,551,272,279,975,495,11.8,238,257,926,23,0.5,11,12,917,1760,48.36,1112,648,1716,1922,45.9,1154,768,1503,279,6.7,2,277,7,1989,47.5,829,1160,715,1653,86.0,994,659,1508,110,5.72,46,64,719,159,8.27,114,45,2533,1059,55.1,725,334,2171,592,30.8,268,324,827,2,0.0,1,1,1000,0,0.0,0,0,0,86,4.47,27,59,458,20,1.04,15,5,3000,4,0.21,4,0,0,38,1.98,38,0,0,17,0.88,15,2,7500,104,5.41,61,43,1419,yes,0,2,1,1,0,0,0,0,0,0,yes,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,yes,0,0,0,1,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,puliangud,5,yes,1,1,0,0,0,0.0,320,68.73,146,31.27,321,31.42,235,23.03,186.27,0.0,133.47,0.0,0.0,0.0,0.0,0.0
16419,Ramaswamipuram,Sivagiri,Tirunelveli Kattabomman,3891,370,916,4.2,2007,1884,1065,598,312,286,1091,1702,43.7,860,842,1021,0,0.0,0,0,0,1643,49.89,1136,507,2241,2222,57.1,1088,1134,959,6,0.2,0,6,0,1663,42.7,919,744,1235,1971,88.66,947,1024,925,92,4.19,39,53,736,159,7.16,102,57,1789,1282,57.7,637,645,988,681,30.65,302,379,797,7,0.0,7,0,0,1,0.05,1,0,0,59,2.66,6,53,113,16,0.72,16,0,0,17,0.77,17,0,0,42,1.89,34,8,4250,12,0.54,12,0,0,105,4.73,56,49,1143,yes,0,6,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,puliangud,8,yes,1,1,0,0,0,0.0,325,65.3,173,34.7,329,31.25,225,21.4,120.22,0.0,205.13,0.0,0.0,0.0,0.0,0.0
16420,Alangulam,Sivagiri,Tirunelveli Kattabomman,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,65.3,0,34.7,0,90.48,0,61.96,120.22,0.0,205.13,0.0,0.0,0.0,0.0,0.0
16421,Perumalpatti,Sankarankovil,Tirunelveli Kattabomman,4346,347,1043,4.2,2160,2186,988,644,335,309,1084,437,10.1,216,221,977,0,0.0,0,0,0,2390,64.56,1439,951,1513,2325,53.5,1221,1104,1106,191,4.4,15,176,85,1830,42.1,924,906,1020,1591,68.39,762,829,919,489,21.08,267,222,1203,245,10.54,192,53,3623,308,13.25,180,128,1406,1252,53.85,562,690,814,30,0.01,19,11,1727,1,0.04,1,0,0,53,2.28,21,32,656,431,18.54,241,190,1268,5,0.22,5,0,0,107,4.6,94,13,7231,12,0.52,11,1,11000,126,5.42,87,39,2231,yes,0,3,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,no,2,0,0,1,0,0,rajapalaya,16,yes,1,1,0,0,0,0.0,502,55.22,407,44.78,3,0.26,339,27.11,233.01,0.0,269.18,0.0,0.0,0.0,0.0,0.0
16422,Valavandapuram,Sankarankovil,Tirunelveli Kattabomman,805,555,187,4.3,397,408,973,115,60,55,1091,53,6.6,27,26,1038,10,1.2,4,6,667,471,68.26,288,183,1574,370,46.0,214,156,1372,0,0.0,0,0,0,435,54.0,183,252,726,225,60.81,89,136,654,123,33.24,105,18,5833,22,5.95,20,2,10000,113,30.54,44,69,638,112,30.27,45,67,672,0,0.0,0,0,0,0,0.0,0,0,0,1,0.27,0,1,0,95,25.68,78,17,4588,27,7.3,27,0,0,5,1.35,5,0,0,10,2.7,10,0,0,7,1.89,5,2,2500,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,no,2,0,0,1,0,0,rRajapalaya,10,yes,1,1,0,0,0,0.0,45,42.82,59,57.18,1,0.5,40,27.79,27.64,0.0,16.9,0.0,0.0,0.0,0.0,0.0
16423,Pandappuli,Sankarankovil,Tirunelveli Kattabomman,5604,275,1271,4.4,2853,2751,1037,785,414,371,1116,1601,28.6,811,790,1027,0,0.0,0,0,0,2843,59.0,1817,1026,1771,2955,52.7,1681,1274,1319,331,5.9,25,306,82,2318,41.4,1147,1171,980,2506,84.47,1313,1193,1101,254,8.93,220,34,6471,195,6.6,148,47,3149,602,20.37,489,113,4327,1821,61.62,747,1074,696,73,0.02,67,6,11167,10,0.34,10,0,0,5,0.17,5,0,0,236,7.99,203,33,6152,13,0.44,12,1,12000,51,1.73,42,9,4667,22,0.74,21,1,21000,122,4.13,85,37,2297,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,1,0,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,Rajapalaya,10,yes,1,1,0,0,0,0.0,581,35.1,1074,64.9,3,0.12,380,18.64,446.06,0.0,134.86,0.0,0.0,0.0,0.0,0.0
16424,Paruvakkudi,Sankarankovil,Tirunelveli Kattabomman,2474,198,569,4.3,1273,1201,1060,370,196,174,1126,680,27.5,355,325,1092,0,0.0,0,0,0,935,44.44,659,276,2388,1508,61.0,717,791,906,8,0.3,2,6,333,958,38.7,554,404,1371,1207,79.58,514,693,742,154,10.68,108,46,2348,147,9.75,95,52,1827,493,32.69,279,214,1304,594,39.39,147,447,329,113,0.07,84,29,2897,7,0.46,4,3,1333,0,0.0,0,0,0,137,9.08,91,46,1978,17,1.13,17,0,0,32,2.12,27,5,5400,11,0.73,11,0,0,104,6.9,57,47,1213,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,sankarankoi,19,yes,1,1,0,0,0,0.0,291,33.39,580,66.61,4,0.29,374,29.98,208.03,0.0,82.61,0.0,0.0,0.0,0.0,0.0
16425,Panaiyur,Sankarankovil,Tirunelveli Kattabomman,4760,314,1164,4.1,2378,2382,998,627,306,321,953,1376,28.9,672,704,955,16,0.3,9,7,1286,1816,43.94,1145,671,1706,2518,52.9,1348,1170,1152,120,2.5,6,114,53,2122,44.6,1024,1098,933,2073,82.33,1111,962,1155,164,6.51,31,133,233,281,11.16,206,75,2747,977,38.8,708,269,2632,1088,43.21,395,693,570,8,0.0,8,0,0,0,0.0,0,0,0,105,4.17,1,104,10,57,2.26,28,29,966,2,0.08,2,0,0,158,6.27,131,27,4852,13,0.52,13,0,0,110,4.37,62,48,1292,yes,0,3,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,sSankarankoi,19,yes,1,1,0,0,0,0.0,860,69.81,372,30.19,15,0.98,271,17.83,279.8,0.0,535.83,0.0,0.0,44.62,0.0,0.0
16426,Periyur,Sankarankovil,Tirunelveli Kattabomman,1560,151,420,3.7,766,794,965,146,75,71,1056,330,21.2,153,177,864,0,0.0,0,0,0,921,65.13,568,353,1609,744,47.7,527,217,2429,346,22.2,10,336,30,470,30.1,229,241,950,636,85.48,436,200,2180,48,6.45,42,6,7000,60,8.06,49,11,4455,218,29.3,197,21,9381,408,54.84,230,178,1292,10,0.01,9,1,9000,0,0.0,0,0,0,4,0.54,4,0,0,43,5.78,37,6,6167,1,0.13,1,0,0,27,3.63,26,1,26000,7,0.94,7,0,0,26,3.49,16,10,1600,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,Sankarankoi,10,yes,1,1,0,0,0,0.0,450,59.98,301,40.02,5,0.49,278,26.86,210.79,0.0,239.7,0.0,0.0,0.0,0.0,0.0
16427,Kuvalaikkanni,Sankarankovil,Tirunelveli Kattabomman,2051,294,505,4.1,989,1062,931,276,150,126,1190,1838,89.6,890,948,939,0,0.0,0,0,0,707,39.83,429,278,1543,1091,53.2,573,518,1106,98,4.8,0,98,0,862,42.0,416,446,933,968,88.73,481,487,988,23,2.11,21,2,10500,100,9.17,71,29,2448,282,25.85,226,56,4036,651,59.67,231,420,550,35,0.03,24,11,2182,0,0.0,0,0,0,1,0.09,0,1,0,21,1.92,20,1,20000,1,0.09,1,0,0,21,1.92,18,3,6000,24,2.2,24,0,0,55,5.04,29,26,1115,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,sankarankoi,10,yes,1,1,0,0,0,0.0,130,23.04,434,76.96,3,0.46,129,18.57,85.36,0.0,44.64,0.0,0.0,0.0,0.0,0.0
16428,Karivalamvandanallur,Sankarankovil,Tirunelveli Kattabomman,8704,468,2131,4.1,4284,4420,969,1197,579,618,937,2043,23.5,1000,1043,959,0,0.0,0,0,0,4613,61.45,2845,1768,1609,3980,45.7,2549,1431,1781,252,2.9,34,218,156,4472,51.4,1701,2771,614,2469,59.72,1389,1080,1286,562,16.43,361,201,1796,949,23.84,799,150,5327,955,23.99,590,365,1616,1391,34.95,680,711,956,31,0.01,27,4,6750,92,2.31,92,0,0,99,2.49,37,62,597,390,9.8,251,139,1806,73,1.83,73,0,0,437,10.98,415,22,18864,83,2.09,83,0,0,429,10.78,301,128,2352,yes,0,5,3,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,1,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,1,1,0,0,samkarankoi,16,yes,1,1,0,0,0,0.0,643,46.14,750,53.86,1,0.06,465,25.03,368.44,0.0,274.2,0.0,0.0,0.0,0.0,0.0
16429,Vayali,Sankarankovil,Tirunelveli Kattabomman,4320,277,942,4.6,2151,2169,992,606,309,297,1040,296,6.9,152,144,1056,13,0.3,6,7,857,2419,65.13,1491,928,1607,2424,56.1,1266,1158,1093,200,4.6,27,173,156,1696,39.3,858,838,1024,1211,49.96,587,624,941,1005,41.46,521,484,1076,208,8.58,158,50,3160,519,21.41,296,223,1327,671,27.68,271,400,678,21,0.01,20,1,20000,0,0.0,0,0,0,886,36.55,429,457,939,97,4.0,70,27,2593,22,0.91,22,0,0,85,3.51,80,5,16000,15,0.62,14,1,14000,108,4.46,64,44,1455,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,sSankarankoi,6,yes,1,1,0,0,0,0.0,108,7.84,1274,92.16,4,0.28,174,11.13,108.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16430,Manalur,Sankarankovil,Tirunelveli Kattabomman,1613,181,422,3.8,774,839,923,209,95,114,833,583,36.1,273,310,881,0,0.0,0,0,0,625,44.52,429,196,2189,987,61.2,490,497,986,41,2.5,0,41,0,585,36.3,284,301,944,806,81.66,383,423,905,115,11.65,54,61,885,66,6.69,53,13,4077,278,28.17,175,103,1699,528,53.5,208,320,650,0,0.0,0,0,0,0,0.0,0,0,0,2,0.2,1,1,1000,111,11.25,51,60,850,2,0.2,2,0,0,18,1.82,17,1,17000,12,1.22,12,0,0,36,3.65,24,12,2000,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Sankarankoi,8,yes,1,1,0,0,0,0.0,231,32.44,481,67.56,0,0.0,180,20.15,130.66,0.0,100.1,0.0,0.0,0.0,0.0,0.0
